DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             0.429               1.019            -0.590         1.553
RESSURF            0.431               1.015            -0.584         3.030
SOLIN            340.267             340.267             0.000         0.000
AAM            1.418e+26           1.440e+26        -2.149e+24      -999.000
CHI_200           -0.005               0.004            -0.008         0.162
CLDHGH            29.051              28.931             0.120         0.901
CLDLOW            32.611              33.200            -0.588         1.252
CLDMED            16.035              15.801             0.234         0.834
CLDTOT            50.769              51.131            -0.362         1.066
EKE_850           30.982              30.426             0.556         1.066
EP             1.848e-05           8.024e-05        -6.176e-05         0.225
FLNS              59.296              58.262             1.034         1.541
FLNSC             82.027              80.684             1.343         1.863
FLNT             232.425             234.599            -2.174         2.498
FLNTC            261.319             263.598            -2.280         2.373
FSDS             181.587             182.795            -1.208         2.398
FSDSC            242.887             245.560            -2.673         2.752
FSNS             158.544             160.032            -1.487         2.318
FSNSC            213.842             216.662            -2.820         3.303
FSNSC_ICE         52.582              54.744            -2.162         5.012
FSNSC_LAND       176.930             179.192            -2.262         2.591
FSNT             232.854             235.618            -2.764         3.226
FSNTC            284.156             288.482            -4.325         4.640
ICEAREA           23.943              21.998             1.945         0.051
LHFLX             81.699              83.656            -1.956         3.329
LWCF              28.894              29.000            -0.106         0.892
PRECT              2.800               2.869            -0.069         0.225
PRECT_LAND         2.312               2.374            -0.062         0.163
PRECT_OCEAN        3.125               3.191            -0.066         0.255
PREH2O            25.916              27.552            -1.635         1.897
PREH2O_OCEAN      30.279              31.996            -1.717         2.089
PSI_200           -0.034              -0.034             0.000         0.114
PS               985.427             985.588            -0.161         0.310
PSL             1011.145            1011.256            -0.111         0.276
QFLX               2.800               2.869            -0.069         0.105
SHFLX             17.118              17.099             0.019         1.411
SNOWHLND          11.443              11.163             0.281         2.970
SST               20.632              21.333            -0.701         0.723
STRESS_MAG         0.066               0.066            -0.000         0.003
SWCF             -51.302             -52.864             1.561         2.451
T_850            281.859             282.736            -0.877         0.891
TGCLDLWP         134.069             136.489            -2.420         6.453
TGCLDIWP          17.333              16.944             0.389         0.723
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.759             288.625            -0.865         0.909
TS               288.455             289.314            -0.859         0.916
TS_LAND          282.496             283.595            -1.099         1.133
U_200             15.511              15.728            -0.217         0.604
VT_850             0.129               0.113             0.015         0.311
Z3_500            56.740              56.952            -0.212         0.214
