DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             7.926               8.568            -0.642         2.594
RESSURF            7.189               7.722            -0.533         5.428
SOLIN            350.496             350.496             0.000         0.000
AAM            1.491e+26           1.508e+26        -1.705e+24      -999.000
CHI_200           -0.050              -0.036            -0.014         0.425
CLDHGH            28.441              28.282             0.159         1.701
CLDLOW            32.117              32.585            -0.468         1.430
CLDMED            16.284              16.069             0.215         1.251
CLDTOT            50.086              50.325            -0.239         1.665
EKE_850           28.190              27.712             0.478         1.533
EP             7.188e-03           6.804e-03         3.847e-04         0.347
FLNS              58.659              57.734             0.925         1.856
FLNSC             81.384              80.167             1.216         2.069
FLNT             229.511             231.641            -2.130         2.936
FLNTC            257.962             260.238            -2.277         2.474
FSDS             188.689             189.932            -1.243         3.502
FSDSC            252.988             255.773            -2.786         3.043
FSNS             163.138             164.686            -1.548         3.304
FSNSC            221.240             224.225            -2.985         4.503
FSNSC_ICE         31.166              27.079             4.087         4.484
FSNSC_LAND       142.800             144.960            -2.160         2.739
FSNT             237.437             240.209            -2.772         3.962
FSNTC            291.174             295.614            -4.440         5.640
ICEAREA           22.216              20.571             1.645         0.051
LHFLX             82.358              84.367            -2.008         4.629
LWCF              28.451              28.598            -0.147         1.514
PRECT              2.812               2.883            -0.071         0.336
PRECT_LAND         2.278               2.327            -0.049         0.240
PRECT_OCEAN        3.166               3.243            -0.077         0.381
PREH2O            24.625              26.154            -1.529         1.922
PREH2O_OCEAN      29.807              31.514            -1.707         2.161
PSI_200           -0.001              -0.001            -0.000         0.141
PS               985.301             985.451            -0.150         0.545
PSL             1011.343            1011.435            -0.093         0.520
QFLX               2.819               2.890            -0.071         0.140
SHFLX             14.932              14.863             0.069         2.259
SNOWHLND          12.208              11.928             0.280         2.938
SST               20.638              21.354            -0.717         0.744
STRESS_MAG         0.070               0.070             0.001         0.005
SWCF             -53.737             -55.405             1.668         3.664
T_850            280.255             281.090            -0.835         0.867
TGCLDLWP         134.441             137.085            -2.643         9.115
TGCLDIWP          17.714              17.362             0.352         1.163
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.852             286.708            -0.856         0.939
TS               286.504             287.354            -0.850         0.953
TS_LAND          275.829             276.876            -1.047         1.154
U_200             16.289              16.448            -0.158         1.056
VT_850            -0.657              -0.690             0.034         0.547
Z3_500            56.494              56.700            -0.206         0.212
