DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.768              -9.487            -0.282         2.410
RESSURF          -10.778             -10.462            -0.316         4.186
SOLIN            330.385             330.385             0.000         0.000
AAM            1.220e+26           1.231e+26        -1.157e+24      -999.000
CHI_200            0.026               0.035            -0.009         0.314
CLDHGH            30.443              30.338             0.105         1.221
CLDLOW            35.046              35.811            -0.764         1.822
CLDMED            16.031              15.769             0.262         1.094
CLDTOT            53.636              54.154            -0.518         1.674
EKE_850           28.335              27.920             0.416         1.278
EP             1.016e-02           1.187e-02        -1.709e-03         0.310
FLNS              58.109              56.967             1.142         1.862
FLNSC             81.460              79.980             1.479         2.023
FLNT             235.524             237.835            -2.311         2.907
FLNTC            265.319             267.675            -2.356         2.521
FSDS             169.765             170.685            -0.920         3.493
FSDSC            232.108             234.617            -2.509         2.824
FSNS             150.367             151.592            -1.224         3.085
FSNSC            206.565             209.213            -2.648         3.808
FSNSC_ICE         43.016              46.715            -3.700         9.370
FSNSC_LAND       212.276             214.569            -2.294         3.244
FSNT             225.755             228.348            -2.593         3.846
FSNTC            278.121             282.361            -4.239         5.267
ICEAREA           24.931              22.795             2.137         0.076
LHFLX             83.668              85.642            -1.974         4.111
LWCF              29.795              29.840            -0.045         1.293
PRECT              2.861               2.928            -0.067         0.299
PRECT_LAND         2.351               2.412            -0.061         0.238
PRECT_OCEAN        3.188               3.249            -0.061         0.331
PREH2O            27.858              29.611            -1.753         2.019
PREH2O_OCEAN      30.906              32.597            -1.691         2.122
PSI_200           -0.074              -0.074             0.000         0.103
PS               985.618             985.790            -0.172         0.398
PSL             1011.004            1011.132            -0.128         0.386
QFLX               2.871               2.940            -0.069         0.124
SHFLX             19.368              19.444            -0.076         2.006
SNOWHLND          10.436              10.168             0.268         3.092
SST               20.331              21.017            -0.685         0.711
STRESS_MAG         0.077               0.077            -0.000         0.004
SWCF             -52.366             -54.012             1.646         3.403
T_850            283.736             284.673            -0.937         0.973
TGCLDLWP         140.166             142.581            -2.415         8.632
TGCLDIWP          16.485              16.086             0.399         0.998
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.737             290.608            -0.871         0.942
TS               290.432             291.297            -0.865         0.958
TS_LAND          289.152             290.324            -1.172         1.231
U_200             13.517              13.681            -0.164         0.802
VT_850             0.950               0.928             0.021         0.427
Z3_500            57.081              57.302            -0.221         0.226
