DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.243               3.041            -0.798         2.521
RESSURF            6.481               7.436            -0.955         3.972
SOLIN            342.177             342.177             0.000         0.000
AAM            1.422e+26           1.453e+26        -3.113e+24      -999.000
CHI_200            0.003               0.017            -0.013         0.272
CLDHGH            28.439              28.364             0.075         1.351
CLDLOW            32.340              32.869            -0.529         1.481
CLDMED            15.865              15.645             0.220         1.000
CLDTOT            50.033              50.381            -0.348         1.536
EKE_850           27.954              27.450             0.504         1.304
EP            -3.528e-02          -3.778e-02         2.498e-03         0.298
FLNS              59.659              58.631             1.028         1.679
FLNSC             82.417              81.104             1.313         1.951
FLNT             232.658             234.751            -2.093         2.613
FLNTC            260.944             263.154            -2.211         2.347
FSDS             184.625             186.036            -1.411         3.240
FSDSC            245.842             248.602            -2.760         2.972
FSNS             161.450             163.155            -1.705         3.307
FSNSC            216.685             219.645            -2.960         4.399
FSNSC_ICE         45.266              45.548            -0.282         5.168
FSNSC_LAND       164.114             166.065            -1.952         2.231
FSNT             234.901             237.791            -2.891         3.908
FSNTC            286.022             290.401            -4.378         5.383
ICEAREA           25.028              22.930             2.098         0.076
LHFLX             79.203              81.030            -1.827         3.892
LWCF              28.286              28.404            -0.118         1.279
PRECT              2.753               2.820            -0.067         0.286
PRECT_LAND         2.385               2.469            -0.083         0.233
PRECT_OCEAN        3.011               3.062            -0.051         0.316
PREH2O            25.603              27.213            -1.610         1.892
PREH2O_OCEAN      29.706              31.340            -1.633         2.043
PSI_200           -0.043              -0.043             0.000         0.133
PS               985.396             985.554            -0.158         0.333
PSL             1011.099            1011.208            -0.109         0.314
QFLX               2.717               2.782            -0.065         0.117
SHFLX             16.107              16.058             0.050         1.581
SNOWHLND          10.550              10.294             0.256         3.102
SST               20.217              20.913            -0.696         0.720
STRESS_MAG         0.069               0.069            -0.000         0.004
SWCF             -51.122             -52.610             1.488         3.031
T_850            281.629             282.480            -0.852         0.875
TGCLDLWP         133.803             136.109            -2.306         7.907
TGCLDIWP          17.397              16.992             0.405         0.987
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.682             288.546            -0.864         0.933
TS               288.378             289.239            -0.860         0.947
TS_LAND          282.672             283.781            -1.109         1.153
U_200             15.560              15.830            -0.270         0.754
VT_850             0.035               0.024             0.011         0.425
Z3_500            56.694              56.899            -0.205         0.210
