DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -25.843             -25.434            -0.409         1.313
RESSURF          -10.181              -9.310            -0.871         4.323
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.045               0.002            -0.047         0.141
CLDHGH            25.078              24.908             0.171         0.960
CLDLOW            30.092              30.764            -0.672         1.403
CLDMED            15.390              15.068             0.322         0.674
CLDTOT            46.086              46.439            -0.353         1.130
EKE_850           33.954              33.517             0.436         0.960
EP            -1.289e-02          -2.581e-02         1.292e-02         0.143
FLNS              65.068              64.458             0.610         1.387
FLNSC             88.447              87.706             0.740         1.505
FLNT             229.214             231.648            -2.434         2.644
FLNTC            252.793             255.346            -2.552         2.672
FSDS             164.702             165.711            -1.010         2.112
FSDSC            216.283             218.745            -2.463         2.554
FSNS             135.840             137.319            -1.479         2.147
FSNSC            180.442             183.178            -2.736         3.161
FSNSC_ICE         45.544              49.162            -3.618         5.097
FSNSC_LAND       162.641             165.194            -2.553         2.926
FSNT             203.371             206.214            -2.842         3.187
FSNTC            244.253             248.557            -4.304         4.592
ICEAREA           11.736              11.110             0.626         0.037
LHFLX             59.326              60.437            -1.111         3.335
LWCF              23.579              23.698            -0.119         0.750
PRECT              2.035               2.089            -0.055         0.140
PRECT_LAND         1.641               1.694            -0.052         0.125
PRECT_OCEAN        2.631               2.685            -0.054         0.162
PREH2O            18.044              19.275            -1.232         1.381
PREH2O_OCEAN      24.035              25.517            -1.481         1.691
PSI_200           -6.702              -6.804             0.102         0.121
PS               976.763             976.975            -0.213         0.426
PSL             1015.742            1015.863            -0.122         0.372
QFLX               2.022               2.064            -0.042         0.107
SHFLX             21.627              21.733            -0.107         1.798
SNOWHLND           4.641               4.126             0.515         4.037
SST               18.150              18.838            -0.689         0.760
STRESS_MAG         0.049               0.049             0.000         0.003
SWCF             -40.882             -42.343             1.461         2.137
T_850            278.475             279.445            -0.969         0.989
TGCLDLWP         125.051             127.546            -2.495         5.787
TGCLDIWP          19.550              19.099             0.450         0.766
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.863             283.861            -0.998         1.072
TS               283.402             284.404            -1.002         1.095
TS_LAND          280.438             281.627            -1.189         1.231
U_200             18.497              18.657            -0.161         0.584
VT_850             0.284               0.276             0.008         0.358
Z3_500            56.415              56.642            -0.226         0.229
