DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            50.994              51.865            -0.872         3.253
RESSURF           53.798              54.958            -1.161         3.329
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.687              -3.667            -0.020         0.291
CLDHGH            25.049              25.091            -0.043         1.043
CLDLOW            36.759              37.691            -0.932         2.218
CLDMED            13.595              13.396             0.198         0.902
CLDTOT            51.456              52.335            -0.880         2.053
EKE_850           19.453              19.237             0.216         0.850
EP            -2.234e-01          -2.547e-01         3.133e-02         0.226
FLNS              60.553              59.401             1.152         2.114
FLNSC             85.075              83.555             1.520         2.070
FLNT             247.861             250.211            -2.349         2.860
FLNTC            272.809             275.267            -2.458         2.646
FSDS             231.951             232.076            -0.126         4.609
FSDSC            316.848             319.457            -2.609         3.114
FSNS             195.917             197.163            -1.245         3.941
FSNSC            270.075             273.577            -3.502         5.651
FSNSC_ICE        119.674             130.749           -11.075        15.936
FSNSC_LAND       254.096             256.784            -2.688         3.929
FSNT             298.855             302.076            -3.221         4.902
FSNTC            366.156             371.853            -5.698         7.440
ICEAREA            9.197               8.592             0.605         0.043
LHFLX             54.039              54.804            -0.765         3.119
LWCF              24.948              25.056            -0.108         1.053
PRECT              2.114               2.176            -0.063         0.219
PRECT_LAND         2.395               2.453            -0.058         0.239
PRECT_OCEAN        1.946               2.010            -0.064         0.209
PREH2O            26.858              28.771            -1.913         2.046
PREH2O_OCEAN      31.234              33.280            -2.047         2.257
PSI_200           -4.536              -4.599             0.062         0.087
PS               975.977             975.990            -0.013         0.304
PSL             1013.648            1013.580             0.068         0.289
QFLX               1.890               1.922            -0.031         0.096
SHFLX             27.527              27.999            -0.472         1.600
SNOWHLND           2.727               2.236             0.491         4.209
SST               19.698              20.428            -0.730         0.797
STRESS_MAG         0.047               0.046             0.001         0.003
SWCF             -67.301             -69.777             2.477         4.747
T_850            287.299             288.438            -1.139         1.178
TGCLDLWP         134.851             136.603            -1.752         8.218
TGCLDIWP          14.340              13.854             0.487         0.915
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           292.102             293.098            -0.997         1.081
TS               292.679             293.680            -1.001         1.102
TS_LAND          295.690             297.020            -1.330         1.380
U_200              9.608               9.610            -0.002         0.676
VT_850             0.114               0.116            -0.001         0.397
Z3_500            57.934              58.170            -0.236         0.240
