DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -68.479             -68.663             0.184         1.302
RESSURF          -37.039             -36.268            -0.771         5.081
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.206              -1.276             0.069         0.229
CLDHGH            24.617              24.812            -0.195         1.033
CLDLOW            29.028              29.710            -0.681         1.843
CLDMED            15.147              14.917             0.230         0.802
CLDTOT            44.475              45.089            -0.613         1.702
EKE_850           30.856              30.372             0.483         1.264
EP             9.143e-03          -1.307e-02         2.222e-02         0.200
FLNS              64.567              63.715             0.852         1.633
FLNSC             87.477              86.635             0.842         1.893
FLNT             230.729             232.990            -2.261         2.597
FLNTC            254.365             256.943            -2.579         2.744
FSDS             127.642             128.582            -0.940         2.155
FSDSC            166.265             168.201            -1.936         2.065
FSNS             109.445             110.471            -1.026         1.957
FSNSC            143.396             145.263            -1.867         2.073
FSNSC_ICE         10.068              10.245            -0.176         2.171
FSNSC_LAND       127.437             129.294            -1.857         2.123
FSNT             162.250             164.327            -2.076         2.579
FSNTC            194.452             197.588            -3.135         3.230
ICEAREA            9.141               8.380             0.761         0.066
LHFLX             64.516              65.683            -1.168         4.015
LWCF              23.635              23.954            -0.318         1.050
PRECT              2.190               2.257            -0.067         0.191
PRECT_LAND         1.598               1.672            -0.074         0.174
PRECT_OCEAN        2.938               2.987            -0.049         0.214
PREH2O            19.131              20.497            -1.367         1.560
PREH2O_OCEAN      25.730              27.289            -1.559         1.865
PSI_200           -6.303              -6.412             0.109         0.131
PS               977.095             977.194            -0.099         0.328
PSL             1016.084            1016.091            -0.007         0.286
QFLX               2.199               2.244            -0.045         0.127
SHFLX             17.401              17.341             0.060         1.720
SNOWHLND           2.939               2.466             0.472         4.233
SST               19.379              20.116            -0.738         0.804
STRESS_MAG         0.049               0.048             0.001         0.003
SWCF             -32.202             -33.261             1.059         1.841
T_850            278.965             279.932            -0.968         0.996
TGCLDLWP         130.161             133.286            -3.124         8.142
TGCLDIWP          19.379              18.891             0.488         0.979
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.027             285.109            -1.081         1.187
TS               284.600             285.688            -1.087         1.219
TS_LAND          280.318             281.557            -1.239         1.282
U_200             18.028              18.225            -0.197         0.614
VT_850             0.127               0.124             0.003         0.424
Z3_500            56.587              56.806            -0.219         0.222
