DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            74.721              76.558            -1.837         3.155
RESSURF           82.384              84.096            -1.712         3.845
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.999              -3.119             0.120         0.358
CLDHGH            21.193              21.265            -0.072         1.228
CLDLOW            42.087              42.604            -0.517         1.498
CLDMED            13.850              13.658             0.191         0.942
CLDTOT            52.790              53.300            -0.510         1.520
EKE_850           30.247              29.782             0.465         1.328
EP            -1.114e-02          -2.057e-02         9.434e-03         0.197
FLNS              56.006              54.978             1.028         1.743
FLNSC             85.221              84.070             1.151         1.675
FLNT             235.444             237.187            -1.743         2.353
FLNTC            257.981             259.937            -1.956         2.051
FSDS             258.640             259.524            -0.884         4.082
FSDSC            351.201             354.604            -3.403         3.730
FSNS             214.304             216.222            -1.918         3.782
FSNSC            296.379             300.719            -4.340         6.882
FSNSC_ICE        120.475             122.678            -2.203         9.726
FSNSC_LAND       188.190             190.167            -1.977         2.354
FSNT             310.165             313.745            -3.579         4.752
FSNTC            383.198             389.336            -6.138         8.109
ICEAREA            8.119               7.054             1.065         0.051
LHFLX             64.770              65.994            -1.224         2.874
LWCF              22.538              22.751            -0.213         1.177
PRECT              2.225               2.281            -0.056         0.191
PRECT_LAND         2.683               2.750            -0.066         0.263
PRECT_OCEAN        2.160               2.215            -0.055         0.177
PREH2O            21.465              22.767            -1.302         1.506
PREH2O_OCEAN      23.338              24.561            -1.223         1.556
PSI_200            6.599               6.705            -0.106         0.153
PS               983.595             983.619            -0.024         0.411
PSL             1006.921            1006.893             0.028         0.364
QFLX               2.214               2.260            -0.046         0.088
SHFLX             11.145              11.155            -0.010         1.130
SNOWHLND          46.952              46.901             0.051         1.127
SST               16.330              17.075            -0.745         0.758
STRESS_MAG         0.082               0.079             0.002         0.004
SWCF             -73.032             -75.591             2.559         4.966
T_850            279.411             280.229            -0.818         0.840
TGCLDLWP         145.394             147.577            -2.183         7.752
TGCLDIWP          16.790              16.415             0.375         1.169
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.905             285.695            -0.791         0.822
TS               285.424             286.219            -0.795         0.837
TS_LAND          275.766             276.903            -1.138         1.200
U_200             19.469              19.881            -0.412         0.975
VT_850            -0.089              -0.098             0.009         0.467
Z3_500            55.908              56.095            -0.187         0.193
