DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -109.988            -110.415             0.427         1.271
RESSURF          -83.649             -83.655             0.006         5.556
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.285               4.290            -0.004         0.260
CLDHGH            31.409              31.282             0.127         1.131
CLDLOW            37.512              38.158            -0.646         1.582
CLDMED            17.800              17.472             0.328         0.968
CLDTOT            56.036              56.308            -0.272         1.396
EKE_850           56.015              55.268             0.747         1.887
EP             1.741e-01           1.896e-01        -1.558e-02         0.180
FLNS              62.649              62.048             0.600         1.400
FLNSC             91.788              91.119             0.669         1.482
FLNT             213.821             216.053            -2.232         2.630
FLNTC            240.645             242.990            -2.345         2.511
FSDS              79.347              80.579            -1.232         2.099
FSDSC            106.196             108.316            -2.120         2.436
FSNS              71.487              72.607            -1.119         1.803
FSNSC             95.262              97.076            -1.814         2.092
FSNSC_ICE          2.636               2.387             0.250         0.355
FSNSC_LAND        76.022              77.182            -1.160         1.709
FSNT             103.833             105.638            -1.805         2.337
FSNTC            126.661             129.345            -2.683         2.993
ICEAREA           15.734              14.203             1.531         0.094
LHFLX             78.704              80.773            -2.069         3.897
LWCF              26.824              26.937            -0.113         1.129
PRECT              2.474               2.530            -0.056         0.178
PRECT_LAND         0.870               0.908            -0.038         0.127
PRECT_OCEAN        2.926               2.971            -0.045         0.190
PREH2O            13.686              14.517            -0.831         0.971
PREH2O_OCEAN      16.305              17.085            -0.780         1.046
PSI_200            7.328               7.410            -0.082         0.140
PS               983.360             983.651            -0.291         0.570
PSL             1007.345            1007.605            -0.260         0.562
QFLX               2.648               2.719            -0.072         0.124
SHFLX             13.783              13.439             0.344         2.850
SNOWHLND          47.004              46.961             0.043         1.019
SST               13.410              14.075            -0.665         0.677
STRESS_MAG         0.103               0.104            -0.001         0.006
SWCF             -22.828             -23.707             0.879         1.486
T_850            273.254             274.085            -0.831         0.859
TGCLDLWP         141.529             144.985            -3.456         8.528
TGCLDIWP          23.404              23.021             0.382         1.197
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.037             278.887            -0.849         0.938
TS               278.641             279.477            -0.836         0.965
TS_LAND          259.043             259.984            -0.940         1.019
U_200             29.979              30.347            -0.368         0.994
VT_850            -0.372              -0.358            -0.015         0.522
Z3_500            54.546              54.757            -0.210         0.220
