DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            19.114              20.914            -1.800         3.426
RESSURF           30.026              31.599            -1.573         3.630
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.653               1.806            -0.153         0.302
CLDHGH            25.201              24.902             0.299         1.444
CLDLOW            38.758              39.202            -0.444         1.361
CLDMED            15.489              15.139             0.351         0.900
CLDTOT            52.741              52.867            -0.125         1.529
EKE_850           42.693              42.197             0.495         1.346
EP             1.087e-01           1.298e-01        -2.115e-02         0.174
FLNS              62.156              61.680             0.475         1.337
FLNSC             91.059              90.367             0.692         1.251
FLNT             222.503             224.453            -1.949         2.386
FLNTC            245.907             247.832            -1.924         2.017
FSDS             204.746             206.465            -1.720         4.005
FSDSC            272.796             276.016            -3.220         3.485
FSNS             168.773             171.348            -2.576         4.392
FSNSC            227.934             231.970            -4.037         6.694
FSNSC_ICE         62.881              62.805             0.077         6.122
FSNSC_LAND       147.821             149.182            -1.361         1.756
FSNT             241.617             245.366            -3.749         4.974
FSNTC            294.258             299.644            -5.386         7.423
ICEAREA           15.888              14.551             1.337         0.081
LHFLX             63.561              65.202            -1.641         3.183
LWCF              23.404              23.379             0.025         1.120
PRECT              2.030               2.064            -0.034         0.159
PRECT_LAND         1.512               1.551            -0.039         0.151
PRECT_OCEAN        2.171               2.195            -0.025         0.164
PREH2O            15.207              16.074            -0.868         1.030
PREH2O_OCEAN      17.567              18.392            -0.825         1.080
PSI_200            7.334               7.477            -0.144         0.176
PS               983.041             983.200            -0.159         0.405
PSL             1006.725            1006.846            -0.121         0.404
QFLX               2.139               2.194            -0.055         0.098
SHFLX             13.030              12.867             0.163         1.768
SNOWHLND          47.018              46.984             0.034         0.901
SST               13.304              13.968            -0.664         0.673
STRESS_MAG         0.101               0.102            -0.001         0.004
SWCF             -52.641             -54.278             1.636         3.783
T_850            274.890             275.652            -0.762         0.779
TGCLDLWP         136.139             137.627            -1.488         7.242
TGCLDIWP          21.116              20.690             0.426         1.160
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.787             280.524            -0.737         0.765
TS               280.299             281.027            -0.728         0.769
TS_LAND          266.415             267.334            -0.919         0.958
U_200             26.965              27.498            -0.533         0.937
VT_850            -0.251              -0.233            -0.017         0.496
Z3_500            54.878              55.061            -0.184         0.193
