DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            47.758              48.345            -0.587         1.797
RESSURF           15.472              15.506            -0.034         1.693
SOLIN            408.204             408.204             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.523              -0.545             0.023         0.190
CLDHGH            36.376              36.294             0.081         0.973
CLDLOW            28.608              29.166            -0.558         1.110
CLDMED            16.827              16.733             0.094         1.116
CLDTOT            52.787              53.206            -0.419         0.973
EKE_850           15.623              15.082             0.540         1.070
EP            -8.634e-02          -8.348e-02        -2.861e-03         0.340
FLNS              53.092              51.348             1.745         1.937
FLNSC             69.296              66.927             2.369         2.489
FLNT             243.529             245.604            -2.075         2.598
FLNTC            282.094             284.280            -2.186         2.267
FSDS             214.093             215.466            -1.373         2.602
FSDSC            288.505             291.342            -2.837         2.887
FSNS             198.642             199.944            -1.303         2.460
FSNSC            268.657             271.351            -2.694         2.746
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       242.524             244.861            -2.337         2.456
FSNT             291.287             293.949            -2.662         3.322
FSNTC            357.712             362.072            -4.360         4.395
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            112.953             115.937            -2.984         3.909
LWCF              38.565              38.676            -0.112         1.131
PRECT              4.000               4.100            -0.100         0.340
PRECT_LAND         4.103               4.195            -0.092         0.238
PRECT_OCEAN        3.963               4.065            -0.102         0.366
PREH2O            41.980              44.583            -2.603         2.713
PREH2O_OCEAN      43.676              46.360            -2.684         2.797
PSI_200           -0.603              -0.625             0.021         0.051
PS               995.915             996.058            -0.143         0.191
PSL             1010.637            1010.760            -0.123         0.165
QFLX               3.914               4.016            -0.103         0.120
SHFLX             17.125              17.154            -0.029         0.993
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.262              27.965            -0.703         0.710
STRESS_MAG         0.052               0.052            -0.000         0.002
SWCF             -66.425             -68.123             1.698         2.713
T_850            290.243             291.095            -0.851         0.856
TGCLDLWP         134.813             137.140            -2.327         7.382
TGCLDIWP          12.040              11.726             0.314         0.590
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.962             299.751            -0.789         0.801
TS               299.939             300.712            -0.774         0.791
TS_LAND          298.288             299.295            -1.007         1.015
U_200              3.171               3.212            -0.041         0.557
VT_850             0.304               0.259             0.045         0.263
Z3_500            58.586              58.801            -0.215         0.215
