DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            28.771              29.169            -0.399         2.290
RESSURF           -2.676              -2.870             0.194         3.281
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.507              -0.503            -0.004         0.377
CLDHGH            34.767              34.541             0.226         1.446
CLDLOW            30.965              31.680            -0.716         1.599
CLDMED            16.682              16.422             0.260         1.351
CLDTOT            53.420              53.826            -0.405         1.501
EKE_850           10.968              10.678             0.290         0.832
EP             7.817e-02           9.861e-02        -2.043e-02         0.450
FLNS              51.289              49.626             1.662         1.991
FLNSC             67.841              65.609             2.231         2.399
FLNT             244.671             247.022            -2.352         3.196
FLNTC            282.103             284.371            -2.268         2.403
FSDS             197.342             198.733            -1.391         3.314
FSDSC            272.321             275.112            -2.791         2.878
FSNS             182.923             184.229            -1.306         3.126
FSNSC            253.246             255.875            -2.629         2.712
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       228.437             230.772            -2.335         2.477
FSNT             273.442             276.192            -2.750         3.857
FSNTC            340.072             344.406            -4.334         4.375
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.457             120.519            -3.062         5.058
LWCF              37.432              37.349             0.084         1.616
PRECT              3.969               4.052            -0.083         0.431
PRECT_LAND         3.323               3.406            -0.083         0.290
PRECT_OCEAN        4.167               4.249            -0.082         0.466
PREH2O            42.678              45.175            -2.497         2.652
PREH2O_OCEAN      44.326              46.873            -2.547         2.707
PSI_200           -2.944              -2.964             0.020         0.069
PS               997.240             997.450            -0.210         0.248
PSL             1011.995            1012.185            -0.191         0.225
QFLX               4.047               4.150            -0.103         0.148
SHFLX             16.853              16.953            -0.101         1.207
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.101              27.779            -0.678         0.689
STRESS_MAG         0.070               0.070             0.000         0.003
SWCF             -66.631             -68.215             1.584         3.168
T_850            290.128             290.976            -0.847         0.856
TGCLDLWP         144.024             146.070            -2.046         9.115
TGCLDIWP          11.821              11.491             0.329         0.853
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.854             299.623            -0.769         0.789
TS               299.754             300.513            -0.759         0.786
TS_LAND          298.007             299.034            -1.027         1.044
U_200              1.256               1.378            -0.122         0.699
VT_850             2.941               2.866             0.075         0.350
Z3_500            58.723              58.941            -0.218         0.218
