DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            55.454              56.030            -0.576         2.272
RESSURF           23.710              23.686             0.023         3.218
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.557              -0.611             0.053         0.371
CLDHGH            37.482              37.539            -0.056         1.565
CLDLOW            26.948              27.614            -0.666         1.458
CLDMED            16.203              16.208            -0.006         1.863
CLDTOT            52.164              52.758            -0.594         1.665
EKE_850           10.920              10.354             0.566         1.136
EP            -9.752e-02          -1.088e-01         1.126e-02         0.596
FLNS              53.571              51.610             1.960         2.267
FLNSC             69.286              66.733             2.553         2.744
FLNT             243.331             245.175            -1.844         3.142
FLNTC            282.709             284.831            -2.122         2.297
FSDS             221.326             222.413            -1.088         3.901
FSDSC            292.166             294.866            -2.700         2.804
FSNS             205.256             206.290            -1.034         3.695
FSNSC            272.032             274.614            -2.582         2.680
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       244.679             246.868            -2.189         2.466
FSNT             298.785             301.205            -2.420         4.154
FSNTC            362.093             366.358            -4.265         4.309
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.561             113.594            -3.033         5.335
LWCF              39.378              39.656            -0.278         1.914
PRECT              3.930               4.048            -0.118         0.573
PRECT_LAND         4.199               4.287            -0.088         0.359
PRECT_OCEAN        3.842               3.968            -0.126         0.625
PREH2O            42.558              45.346            -2.788         2.985
PREH2O_OCEAN      44.355              47.239            -2.885         3.087
PSI_200            0.161               0.153             0.008         0.066
PS               995.571             995.676            -0.105         0.178
PSL             1010.268            1010.353            -0.085         0.151
QFLX               3.832               3.939            -0.106         0.146
SHFLX             17.415              17.399             0.015         1.150
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.721              28.424            -0.702         0.712
STRESS_MAG         0.049               0.050            -0.001         0.004
SWCF             -63.308             -65.153             1.845         4.003
T_850            290.752             291.624            -0.871         0.879
TGCLDLWP         122.138             124.826            -2.687        11.819
TGCLDIWP          11.946              11.652             0.293         0.950
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.410             300.212            -0.803         0.820
TS               300.475             301.257            -0.782         0.805
TS_LAND          299.112             300.155            -1.044         1.058
U_200              5.229               5.440            -0.211         0.689
VT_850             0.178               0.184            -0.006         0.362
Z3_500            58.603              58.821            -0.218         0.218
