DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable    b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002  b.e11.TSREFC2.f09.g16.ccmi23.002  b.e11.TSREFC2.G4SSA.f09.g16.ccmi23.002        RMSE
                                                      -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            54.841              55.620            -0.779         2.377
RESSURF           25.991              26.522            -0.531         2.917
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.426              -0.469             0.043         0.280
CLDHGH            35.336              35.216             0.120         1.521
CLDLOW            29.305              29.770            -0.464         1.163
CLDMED            16.933              16.851             0.082         1.239
CLDTOT            52.818              53.124            -0.306         1.360
EKE_850           11.667              11.135             0.532         1.302
EP            -2.193e-01          -2.256e-01         6.339e-03         0.440
FLNS              52.427              50.687             1.740         1.993
FLNSC             69.034              66.654             2.380         2.492
FLNT             244.461             246.529            -2.068         2.833
FLNTC            282.057             284.187            -2.131         2.223
FSDS             220.629             222.200            -1.571         3.288
FSDSC            297.241             300.358            -3.117         3.172
FSNS             205.094             206.610            -1.516         3.117
FSNSC            277.283             280.258            -2.975         3.032
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       251.317             253.903            -2.586         2.711
FSNT             299.302             302.149            -2.847         3.800
FSNTC            367.419             372.028            -4.609         4.645
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            108.826             111.479            -2.653         4.370
LWCF              37.596              37.658            -0.063         1.591
PRECT              4.008               4.107            -0.099         0.426
PRECT_LAND         4.552               4.685            -0.134         0.352
PRECT_OCEAN        3.832               3.920            -0.088         0.447
PREH2O            42.079              44.653            -2.574         2.675
PREH2O_OCEAN      43.300              45.903            -2.603         2.714
PSI_200           -1.135              -1.169             0.034         0.072
PS               995.805             996.019            -0.215         0.249
PSL             1010.501            1010.699            -0.197         0.227
QFLX               3.789               3.881            -0.093         0.125
SHFLX             17.850              17.922            -0.071         1.201
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.042              27.743            -0.702         0.710
STRESS_MAG         0.053               0.052             0.000         0.003
SWCF             -68.117             -69.879             1.762         3.137
T_850            290.311             291.140            -0.829         0.838
TGCLDLWP         135.080             137.385            -2.305         8.286
TGCLDIWP          11.828              11.525             0.303         0.791
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.962             299.738            -0.776         0.790
TS               299.960             300.727            -0.768         0.787
TS_LAND          299.080             300.068            -0.988         1.004
U_200              2.010               2.095            -0.085         0.674
VT_850             0.214               0.170             0.043         0.347
Z3_500            58.572              58.785            -0.213         0.214
